ROUTE,AVERAGE_CO2_PER_PERSON_TONNES,AVERAGE_CO2_PER_PERSON_KG,AVERAGE_CO2_TONNES,FLIGHT_COUNT
GOT-OSL,0.02554927425515661,25.54927425515661,8.361,1
MVT-PPT,0.025546218487394957,25.546218487394956,1.52,2
SMS-TNR,0.02552176704014939,25.521767040149392,1.4975,8
CFN-DUB,0.02549168152109329,25.491681521093287,1.560090909090909,11
BRE-NUE,0.02549019607843137,25.490196078431367,0.097,14
IXR-PAT,0.025464895635673626,25.464895635673628,4.026,2
LGK-PEN,0.025463909957207966,25.463909957207967,3.9514347826086955,23
AGP-MLN,0.02541378316032296,25.413783160322957,1.5553235294117647,34
ASR-VAS,0.025403050108932464,25.403050108932465,4.081,1
JNU-PEC,0.025359477124183006,25.359477124183005,0.194,4
BEY-DAM,0.025339193148523776,25.339193148523776,6.14875,4
ABZ-KOI,0.025304690503652444,25.304690503652445,1.2572352941176472,17
STX-VQS,0.025294117647058828,25.29411764705883,0.1935,2
MTK-TRW,0.025294117647058825,25.294117647058826,0.4085,2
KEU-KIS,0.02528104575163399,25.28104575163399,0.3292,5
GDT-PLS,0.025241941358586782,25.241941358586782,0.39088235294117646,17
MKK-OGG,0.025228758169934643,25.228758169934643,0.193,30
BOM-STV,0.025226244343891403,25.226244343891402,1.6724999999999999,2
BLR-TIR,0.025226244343891403,25.226244343891402,1.6724999999999999,2
BEG-SJJ,0.02521493212669683,25.21493212669683,1.543153846153846,13
CTS-SHB,0.0252066772655008,25.206677265500797,1.5855,6
CLO-UIB,0.02516806722689076,25.16806722689076,1.4974999999999998,6
BEG-BNX,0.02515002970885324,25.15002970885324,1.5391818181818182,11
ATH-KIT,0.025131740196078438,25.13174019607844,1.369125,8
BNN-BOO,0.025129411764705883,25.129411764705882,1.068,2
SGN-VKG,0.02508169934640523,25.08169934640523,1.5350000000000001,2
GAN-KDO,0.02507563025210084,25.07563025210084,1.492,1
BOO-SSJ,0.02506787330316742,25.06787330316742,0.831,1
BIM-FLL,0.025043478260869566,25.043478260869566,0.9792,5
ACE-TFN,0.025032829253705834,25.032829253705835,1.5161555555555553,45
KTL-WIL,0.024977375565610863,24.977375565610863,1.104,2
