ROUTE,AVERAGE_CO2_TONNES,FLIGHT_COUNT
CDG-KIX,202.772,4
TFU-YVR,202.69233333333332,3
CAN-LGW,202.688,2
PRG-TPE,202.66199999999998,2
HAV-IST,202.491,1
AKL-HAK,202.448,1
COR-MAD,202.4185,2
HKT-SOF,202.3185,2
JNB-ZRH,201.91757142857142,7
TPE-VIE,201.889,4
JNB-SZX,201.875,1
KUL-LHR,201.87,8
AUH-MNL,201.7206666666667,6
BCN-SIN,201.6725,8
ATL-HND,201.57999999999998,4
CGO-SYD,201.557,1
CMN-DXB,201.5334,10
ACC-DXB,201.47866666666667,3
ISB-LGW,201.2775,2
LGW-TPA,201.275,8
SZX-YVR,201.031,4
BLR-LHR,200.89345454545455,11
DFW-IST,200.66457142857143,7
LHR-TFU,200.6455,4
AMS-KUL,200.60233333333335,3
ADD-EWR,200.59,2
LHR-SGN,200.584,4
CHC-SFO,200.546,8
CHC-HKG,200.4384,5
ADD-YYZ,200.267,1
CGK-DXB,200.246,12
ORD-VIE,200.244,4
NKG-SYD,200.03199999999998,4
CDG-XMN,199.98700000000002,2
FCO-LAX,199.98042857142858,7
MED-PLM,199.92533333333336,3
BKK-MAD,199.86849999999998,2
CGN-OSL,199.865,1
MEL-TAO,199.8235,4
ARN-HKT,199.707,13
GYE-MAD,199.69088888888888,9
SYD-TFU,199.6675,4
MAD-PVG,199.572,5
DEL-TPE,199.473,1
ASB-KUL,199.46949999999998,4
MAD-VVI,199.4469,10
CMB-LHR,199.348,5
MXP-SZX,199.324,1
MAD-SCL,199.26929032258064,31
NRT-SFO,199.15564999999998,20
AKL-KUL,199.11522222222223,27
CPH-SFO,199.063,2
ORD-SZX,199.031,2
CPH-HND,198.86,2
BCN-MIA,198.85164705882354,17
DEN-IST,198.792,1
FCO-SFO,198.72657142857142,7
CLT-FRA,198.608,8
MRS-PVG,198.50099999999998,4
MLE-VIE,198.45850000000002,2
NRT-TLV,198.382,4
HGH-SYD,198.38150000000002,2
CUN-ZRH,198.36883333333333,6
PEK-TIJ,198.249,1
MEL-NKG,198.221,2
ACC-GRU,197.844,1
LHR-PEK,197.45575,8
DXB-SIN,197.45063636363636,22
IST-TPE,197.38733333333334,9
ICN-MSP,197.36399999999998,4
JED-SOC,197.345,1
JFK-LOS,197.3105,2
BTS-HOG,197.1845,2
FRA-KJA,197.0716666666667,3
CAN-SVO,196.9295,4
DEN-FRA,196.84210000000002,10
HKG-MAN,196.739,2
FRA-TQO,196.6585,8
DOH-LGG,196.6215,2
DEL-MEL,196.5926,10
ANC-HSV,196.553,1
GIG-JFK,196.4689375,16
CAN-LHR,196.4595,2
KZN-PEK,196.452,1
CPH-HKT,196.29155555555556,9
CDG-CMB,196.2405,2
DOH-ZAZ,196.203,2
BOS-DOH,196.1016,15
HKG-JNB,195.98850000000002,6
AMS-KIX,195.957,4
MLE-ZRH,195.91514285714285,7
CWB-UIO,195.905,2
LGW-POS,195.895,4
HEL-HND,195.7599285714286,14
GRU-LAX,195.54600000000002,6
LIR-ZRH,195.536,1
ANC-GDL,195.47933333333333,3
DWC-ZAZ,195.472,1
ANC-AUS,195.359,1
JED-UPG,195.094,4
ORY-RUN,194.88076,25
